screen_name,id
ylecun,48008938
Austan_Goolsbee,217284148
goodfellow_ian,775449094739197953
trishgreenhalgh,462021312
michiokaku,19515424
Nouriel,19224439
deevybee,134429434
JCVenter,56564230
LKrauss1,556151596
mbeisen,19843630
LabSpaces,17051344
tylercowen,8496762
MarkThoma,16833653
SylviaEarle,33248363
AmyMainzer,1184354442
JFGariepy,274567177
RichardDawkins,15143478
Astro_Mike,28123862
ProfRWinston,187909268
Astro_Alex,390287262
ProfJohnLennox,498897563
timberners_lee,84351228
helenczerski,460187847
bgreene,594666501
SebastianThrun,318063815
plutokiller,29912873
hayano,13006812
MichaelEMann,384923143
utafrith,185280748
neuroconscience,47336791
jimalkhalili,104786280
rjgeller,801939498
carolynporco,66162716
orbitingfrog,5110861
bengoldacre,6705042
amyjccuddy,529140270
ProfBrianCox,17939037
rodrikdani,271452947
sapinker,107225267
HansRosling,20280065
DrFunkySpoon,378703672
AstroKarenN,1299995892
BadAstronomer,4620451
dambisamoyo,22341950
CatherineQ,21724904
seanmcarroll,21611239
nntaleb,381289719
davideagleman,21626287
sjblakemore,86065887
JustinWolfers,327577091
Pascallisch,206071884
astro_andre,266464616
SamHarrisOrg,116994659
Richard_Florida,17179368
masui,3646871
sinanaral,214272214
DrBrianMay,863405239
OliverSacks,52488565
D_Blanchflower,564673621
econjared,297067961
zephoria,633
Atul_Gawande,233364902
danariely,17997789
RandomSpaceFact,27724771
marionnestle,24212723
paulbloomatyale,90169053
DanTGilbert,525785424
debbiebere,20928893
JohnAllenPaulos,47359057
MarcusduSautoy,22272053
dgmacarthur,16629477
JeffDSachs,116763916
kinggary,29354944
danlevitin,41859177
JosephEStiglitz,1963312058
2020science,15480686
DrMelanieG,224074946
Noahpinion,281877818
vaughanbell,20542737
kejames,17385903
sbaroncohen,308151547
DrVes,14441143
NIHDirector,124237063
RichardWiseman,19512493
DeanBaker13,330361451
freekvonk,127328591
AdamMGrant,1059273780
neiltyson,19725644
AstroKatie,33773592
social_brains,415601652
phylogenomics,15154811
ProfTimNoakes,549304456
kaushikcbasu,17797666
SethShostak,17283244
starstryder,12702822
pzmyers,8005492
bill_easterly,35810531
EricTopol,86626845
alfcnz,796584325
